上の句,上の句読み
淡路島　かよふ千鳥の　鳴く声に,あわじしま、かようちどりの、なくこえに
秋風に　たなびく雲の　絶え間より,あきかぜに、たなびくくもの、たえまより
長からむ　心もしらず　黒髪の,ながからん、こころもしらず、くろかみの
ほととぎす　鳴きつる方を　ながむれば,ほととぎす、なきつるかたお、ながむれば
思ひわび　さても命は　あるものを,おもいわび、さてもいのちわ、あるものお
世の中よ　道こそなけれ　思ひ入る,よのなかよ、みちこそなけれ、おもいいる
ながらへば　またこのごろや　しのばれむ,ながらえば、またこのごろや、しのばれん
夜もすがら　物思ふころは　明けやらで,よもすがら、ものおもうころわ、あけやらで
嘆けとて　月やは物を　思はする,なげけとて、つきやわものお、おもわする
村雨の　露もまだひぬ　真木の葉に,むらさめの、つゆもまだひぬ、まきの葉に
難波江の　蘆のかりねの　ひとよゆゑ,なにわえの、あしのかりねの、ひとよゆえ
玉のをよ　たえなばたえね　ながらへば,たまのおよ、たえなばたえね、ながらえば
見せばやな　雄島の海人の　袖だにも,みせばやな、おじまのあまの、そでだにも
きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす、なくやしもよの、さむしろに
我が袖は　潮干に見えぬ　沖の石の,わがそでわ、しおひにみえぬ、おきのいしの
世の中は　常にもがもな　渚漕ぐ,よのなかわ、つねにもがもな、なぎさこぐ
み吉野の　山の秋風　小夜ふけて,みよしのの、やまのあきかぜ、さよふけて
おほけなく　憂き世の民に　おほふかな,おおけなく、うきよのたみに、おおうかな
花さそふ　あらしの庭の　雪ならで,花さそう、あらしのにわの、ゆきならで
来ぬ人を　まつほの浦の　夕なぎに,こぬひとお、まつほのうらの、ゆうなぎに
風そよぐ　ならの小川の　夕暮は,かぜそよぐ、ならのおがわの、ゆうぐれわ
人もをし　人もうらめし　あぢきなく,ひともおし、ひともうらめし、あじきなく
ももしきや　古き軒端の　しのぶにも,ももしきや、ふるきのきばの、しのぶにも
